PREFEITURA,ENDEREÇO,UF,IPTU,ITBI,DIVIDA ATIVA,CND,CONTATOS,OBSERVAÇÃO
São José dos Campos,,SP,,https://servicos.sjc.sp.gov.br/ItbiLaudemio/Comum/interna.aspx,,cnd de iptu,,
São José dos Pinhais,,,2 VIA IPTU,https://www.sjp.pr.gov.br/sic/,,cnd de iptu,,
Mogi das Cruzes,,,ANOS ANTERIORES,https://www.mogidascruzes.sp.gov.br/servico/impostos-e-taxas/itbi-emissao-de-guia-para-recolhimento,,cnd de iptu,,
Barueri,,,,https://www.barueri.sp.gov.br/eitbi/,,cnd de iptu,,
São Carlos,,,https://cidadaoscarlos.giap.com.br/apex/scarlos/f?p=231:57:576985681525::NO:APP: ,https://scarlos.giap.com.br/ords/scarlos02/f?p=1471:41:4668155310190:::41:P0_TIPO_INSCRICAO:I,,cnd de iptu,,
Suzano,,,,4745-2010 // ITBI 4745-2024 | iptu@suzano.sp.gov.br,,cnd de iptu,,
Rio de Janeiro,,,2ª via de IPTU,https://carioca.rio/tema/itbi/ | https://dief.rio.rj.gov.br/dief/asp/mcriweb/default_decla.asp,,http://www2.rio.rj.gov.br/smf/iptucertfiscal/,,
Itaboraí,,,https://itaborai.supernova.com.br:8443/PortalTributario-web/iptu/emitirIptuViaSegunda.xhtml,https://eitbi.ib.itaborai.rj.gov.br/,,"Solicitar de forma presencial, não precisa de procuração. ",,
Porto Alegre,,,https://siat-web.procempa.com.br/guia-iptu,https://servicos.procempa.com.br/servicedesk/customer/portal/12/user/login?destination=portal%2F12,,cnd de iptu,,
Feira de Santana,,,https://www.sefaz.feiradesantana.ba.gov.br/?pg=servicosonline&iptu=1&tipo_inscricao=atual,http://itivdigital.sefaz.feiradesantana.ba.gov.br/,,cnd de iptu,,
São Luís,,,,solicitação é por Whatsapp: (98) 99162-9940 ou e-mail infosemfaz@semfaz.saoluis.ma.gov.br  - Preencher requerimento da prefeitura: ,,,,
Praia Grande,,,https://portal.cidadao.topdata-info.com.br/praiagrande/boleto_avista.php,ITBI,,Cnd de iptu,,
Campo Grande,,,https://iptu.campogrande.ms.gov.br/,Solicitei via TL tendo em vista que não foi possível via site. ,,,,
Almirante Tamandaré,,,https://tamandare.pr.gov.br/IPTU,itbi@tamandare.pr.gov.br,,,,
Pirassununga,,,,(19)3565-8025 - Solicitar via e-mail e encaminhar contrato e matrícula com atual credor: tributacao@pirassununga.sp.gov.br ,,,,
Sumaré,,,https://sumare.atende.net/autoatendimento/servicos/guias-de-iptu/detalhar/1,https://sumare.atende.net/autoatendimento/servicos/guias-itbi/detalhar/1,,http://sol.sumare.sp.gov.br:8090/TributosWeb/EMISSOES/certidaoprincipaliptu.aspx,,
Santa Rosa,,,IPTU DIVIDA ATIVA,	itbi@santarosa.rs.gov.br,,,,
Viamão,,,CONTATO PARA SOLICITAR IPTU E ITBI,https://www.viamao.rs.gov.br/portal/secretarias/12/secretaria-da-fazenda,,,,
São Borja,,,https://www.saoborja.rs.gov.br/index.php/consulta-debitos-por-inscricao | assuntospmsb@gmail.com - dividaativa.sb@gmail.com,itbisaoborja@gmail.com,,,"(55): 3431-4130, 3431-4090, 3431-8624, 3431-9818 - Ramal telefônico: 210",
Jundiaí,,,2ª via de IPTU,,,cnd de iptu,,
Niterói,,,2ª via de IPTU,,,cnd de iptu,,
Novo Hamburgo,,,guias@novohamburgo.rs.gov.br,,,,,
Curitiba,,,https://iptu-dam.curitiba.pr.gov.br/Parcelamento,,,,,
Guarulhos,,,2º via de IPTU,,,http://fazenda.guarulhos.sp.gov.br/ords/guarulho/f?p=843:LOGIN_DESKTOP:17003469750694,,
Leme,,,2ª via de IPTU,,,,,
Três Lagoas,,,2ª Via de IPTU,,,,,IPTU/23 disponível
Umuarama,,,2ª via de IPTU,,,,,
Itanhaém,,,2ª via de IPTU,,,receita@intanhaém.sp.gov.br,,
Mogi Guaçu,,,https://mogiguacu.intertecsolucoes.com.br/ords/mguacu/f?p=1577:1::::::,,,,,
Guaxupé,,,IPTU | DIVIDA ATIVA,,,,,
